time,latitude,longitude,depth,mag
1933-06-24T21:54:49.000Z,-5.226,104.596,20,7.6
1933-08-25T07:50:33.000Z,32.012,103.676,15,7.3
1933-08-28T22:19:48.000Z,-60.041,-26.838,35,7.5
1933-11-20T23:21:35.000Z,73.122,-70.014,15,7.7
1934-01-15T08:43:25.000Z,26.885,86.589,15,8
1934-02-14T03:59:39.000Z,17.463,119.199,15,7.5
1934-02-24T06:23:48.000Z,23.064,143.971,35,7.5
1934-02-28T14:21:49.000Z,-5.444,150.706,15,7.1
1934-03-05T11:46:22.000Z,-40.497,175.171,35,7.2
1934-03-24T12:04:33.000Z,-10.108,160.827,15,7
1934-04-15T22:15:22.000Z,7.681,126.676,35,7.1
1934-07-18T01:36:31.000Z,7.903,-82.492,30,7.5
1934-07-18T19:40:19.000Z,-11.936,166.977,10,7.7
1934-07-21T06:18:22.000Z,-11.129,165.89,15,7.3
1934-11-30T02:05:16.000Z,18.499,-105.276,15,7.1
1934-12-15T01:57:42.000Z,31.25,89.162,15,7.2
1935-04-20T22:02:01.000Z,24.294,120.675,15,7
1935-05-30T21:32:57.000Z,28.941,66.477,25,7.5
1935-08-03T01:10:06.000Z,4.401,96.403,25,7.2
1935-08-17T01:44:37.000Z,-22.292,171.513,20,7.2
1935-09-04T01:37:44.000Z,22.324,121.299,15,7
1935-09-11T14:04:04.000Z,43.384,146.613,35,7.2
1935-09-20T01:46:43.000Z,-3.824,141.416,30,7.8
1935-09-20T05:23:11.000Z,-3.776,142.64,35,7
1935-10-12T16:45:24.000Z,40.199,143.304,15,7
1935-10-18T00:12:00.000Z,40.235,144.011,15,7.1
1935-12-15T07:07:53.000Z,-10.345,161.443,35,7.6
1935-12-17T19:17:35.000Z,22.498,125.769,15,7
1935-12-28T02:35:31.000Z,-0.29,98.255,30,7.6
1936-02-15T12:46:59.000Z,-4.408,133.187,15,7.1
1936-04-01T02:09:28.000Z,4.241,126.368,35,7.8
1936-04-19T05:07:17.000Z,-7.613,156.557,20,7.4
1936-06-30T15:06:41.000Z,51.224,160.811,15,7.5
1936-07-13T11:12:18.000Z,-24.72,-70.11,35,7.5
1936-08-23T21:12:16.000Z,5.316,94.719,50,7
1936-09-19T01:01:47.000Z,3.685,97.535,20,7.2
1936-10-05T09:44:21.000Z,1.642,126.354,15,7
1936-11-02T20:45:58.000Z,38.236,142.276,35,7.2
1936-11-13T12:31:33.000Z,55.956,163.404,20,7.2
1937-01-07T13:20:42.000Z,35.434,97.759,15,7.8
1937-01-25T06:34:06.000Z,-10.42,162.618,15,7.2
1937-02-21T07:02:42.000Z,44.443,149.72,30,7.4
1937-04-16T03:01:38.000Z,-20.596,-177.315,330,7.3
1937-06-21T15:13:04.000Z,-8.335,-79.741,30,7.1
1937-07-22T17:09:33.000Z,64.726,-146.565,10,7
1937-08-11T00:55:56.000Z,-6.538,116.479,610,7.1
1937-08-20T11:59:21.000Z,14.575,121.68,15,7.5
1937-12-23T13:18:02.000Z,16.749,-98.359,25,7.4
1938-01-24T10:31:50.000Z,-60.679,-35.937,10,7
1938-02-01T19:04:22.000Z,-5.045,131.614,25,8.5
1938-05-12T15:39:06.000Z,-6.154,147.634,35,7.7
1938-05-19T17:08:41.000Z,-0.557,118.881,35,7.7
1938-05-23T07:18:30.000Z,36.517,141.491,15,7.7
1938-05-23T08:21:51.000Z,18,120.045,15,7.1
1938-05-30T14:29:52.000Z,-20.008,168.825,35,7.1
1938-06-10T09:53:43.000Z,25.143,125.273,20,7.7
1938-06-16T02:15:18.000Z,27.649,129.449,20,7.5
1938-08-16T04:28:01.000Z,22.752,93.915,75,7
1938-08-29T15:22:24.000Z,12.065,124.101,15,7
1938-09-07T04:03:20.000Z,23.802,121.526,15,7.2
1938-10-10T20:48:07.000Z,2.379,126.585,15,7.3
1938-10-19T04:13:30.000Z,49.114,89.707,10,7.1
1938-10-20T02:19:31.000Z,-9.126,122.852,90,7.3
1938-11-05T08:43:24.000Z,36.966,142.09,35,7.8
1938-11-05T10:50:18.000Z,37.166,142.221,35,7.7
1938-11-06T08:53:55.000Z,37.393,142.303,30,7.7
1938-11-06T21:38:48.000Z,37.019,142.43,25,7.6
1938-11-10T20:18:49.000Z,55.178,-158.181,35,8.3
1938-12-16T17:21:23.000Z,-45.737,167.214,15,7
1939-01-25T03:32:15.000Z,-36.305,-72.315,35,7.8
1939-01-30T02:18:30.000Z,-7.042,155.468,35,7.8
1939-02-03T05:26:23.000Z,-9.386,159.439,15,7
1939-03-21T01:11:15.000Z,-1.267,89.26,15,7.5
1939-04-05T16:42:44.000Z,-19.881,168.973,30,7
1939-04-18T06:22:44.000Z,-27.182,-70.842,35,7.4
1939-04-21T04:29:07.000Z,47.643,139.637,530,7
1939-04-30T02:55:30.000Z,-9.873,159.812,15,7.8
1939-05-01T05:58:30.000Z,39.945,139.682,10,7
1939-09-08T12:04:47.000Z,51.035,174.97,15,7.1
1939-10-10T18:31:59.000Z,38.53,143.085,20,7
1939-12-21T21:00:31.000Z,-0.073,122.51,35,8.1
1939-12-26T23:57:23.000Z,39.771,39.577,20,7.8
1940-01-17T01:14:56.000Z,17.121,148.044,15,7.5
1940-05-24T16:33:59.000Z,-11.094,-77.487,45,8.2
1940-08-01T15:08:25.000Z,44.527,139.489,15,7.5
1940-10-11T18:41:19.000Z,-42.041,-73.63,35,7
1940-11-10T01:39:05.000Z,45.708,26.563,90,7.8
1940-12-28T16:37:44.000Z,18.245,147.558,15,7.7
1941-01-13T16:27:44.000Z,-4.175,152.071,15,7.4
1941-04-15T19:09:57.000Z,18.69,-102.994,30,7.6
1941-05-17T02:24:59.000Z,-10.817,166.284,35,7.4
1941-06-26T11:52:03.000Z,12.017,92.575,20,7.6
1941-08-02T11:41:30.000Z,-29.716,-177.69,35,7.2
1941-11-05T17:38:49.000Z,12.842,123.467,15,7
1941-11-08T23:37:28.000Z,0.742,122.791,35,7.4
1941-11-18T16:46:32.000Z,32.095,131.949,35,7.9
1941-12-05T20:47:03.000Z,8.396,-83.457,20,7.3
1941-12-06T21:24:49.000Z,8.523,-84.528,15,7
1941-12-16T19:19:43.000Z,23.304,120.393,15,7.3
1941-12-26T14:48:06.000Z,22.408,99.814,10,7.2
1942-01-27T13:29:11.000Z,-4.197,135.062,17.5,7.2
1942-04-08T15:40:27.000Z,13.061,120.483,15,7.4
1942-05-14T02:13:27.000Z,-0.025,-79.955,20,7.8
1942-06-14T03:09:53.000Z,14.637,147.822,15,7
1942-06-24T11:16:30.000Z,-41.186,175.868,15,7
1942-08-06T23:37:02.000Z,13.862,-91.138,35,7.7
1942-08-24T22:50:32.000Z,-14.819,-74.708,30,8.1
1942-10-20T23:21:53.000Z,7.949,122.455,35,7.2
1942-11-10T11:41:28.000Z,-49.92,30.336,10,8
1942-11-28T10:38:47.000Z,7.344,-35.64,10,7.2
1942-12-20T14:03:09.000Z,40.87,36.732,10,7
1943-02-22T09:20:49.000Z,17.457,-101.451,20,7.4
1943-03-09T09:48:59.000Z,-60.371,-28.36,20,7
1943-04-06T16:07:17.000Z,-31.432,-71.475,35,8.1
1943-05-25T23:07:40.000Z,7.4,127.178,15,7.8
1943-06-08T20:42:43.000Z,-2.908,102.153,15,7.4
1943-06-09T03:06:20.000Z,-0.827,100.736,10,7.8
1943-06-13T05:11:42.000Z,40.982,143.315,35,7.2
1943-07-23T14:53:10.000Z,-8.591,109.803,60,7
1943-07-29T03:02:17.000Z,18.905,-67.131,15,7.7
1943-09-06T03:41:29.000Z,-53.983,158.737,10,7.4
1943-09-10T08:37:00.000Z,35.448,133.993,15,7
1943-10-23T17:23:21.000Z,26.637,93.852,15,7.2
1943-11-06T08:31:41.000Z,-5.602,134.015,15,7.7
1943-11-26T22:20:48.000Z,40.916,33.562,20,7.5
1944-01-15T23:49:32.000Z,-31.372,-68.436,15,7
1944-02-01T03:22:41.000Z,40.696,32.992,30,7.6
1944-02-29T16:28:08.000Z,0.059,75.144,15,7.1
1944-03-09T22:12:58.000Z,43.29,83.892,10,7.1
1944-04-27T14:38:12.000Z,-0.863,133.977,15,7.6
1944-05-25T01:06:39.000Z,-21.578,-179.44,632.7,7.3
1944-05-25T12:58:11.000Z,-2.424,152.488,15,7.1
1944-06-28T07:58:56.000Z,14.315,-92.894,25,7
1944-09-23T12:13:24.000Z,53.359,159.918,35,7.2
1944-10-05T17:28:34.000Z,-22.174,171.768,120,7
1944-11-16T12:11:02.000Z,-11.936,166.251,35,7.1
1944-11-24T04:49:06.000Z,-19.127,169.184,165,7.2
1944-12-07T04:35:45.000Z,33.682,136.204,15,8.1
1945-02-10T04:57:58.000Z,41.037,142.06,58.7,7.2
1945-02-26T22:14:30.000Z,25.715,143.58,15,7.2
1945-04-15T02:35:29.000Z,57.401,163.641,35,7
1945-09-01T22:44:11.000Z,-46.939,166.022,20,7.5
1945-11-27T21:56:54.000Z,24.927,63.601,15,8.1
1946-04-01T12:29:01.000Z,53.492,-162.832,15,8.6
1946-05-08T05:20:27.000Z,-0.746,99.096,35,7.3
1946-06-23T17:13:24.000Z,49.621,-125.261,15,7.5
1946-08-04T17:51:10.000Z,19.083,-69.248,15,7.5
1946-08-08T13:28:33.000Z,19.538,-69.657,15,7
1946-09-12T15:17:23.000Z,24.054,95.666,15,8
1946-09-29T03:02:06.000Z,-5.158,153.379,50,7.8
1946-11-01T11:14:28.000Z,51.752,-174.453,25,7
1946-12-20T19:19:10.000Z,33.116,135.895,15,8.3
1947-03-17T08:19:37.000Z,33.479,99.529,15,7.3
1947-03-25T20:32:37.000Z,-38.951,177.562,165,7
1947-04-02T05:39:16.000Z,-1.159,137.847,15,7.3
1947-05-27T05:58:58.000Z,-1.86,134.986,15,7.6
1947-06-07T18:47:51.000Z,11.182,124.658,15,7
1947-06-12T09:02:28.000Z,1.201,126.156,15,7
1947-06-13T20:24:59.000Z,21.722,145.567,35,7
1947-06-19T07:34:41.000Z,21.6,145.464,35,7.2
1947-07-29T13:43:25.000Z,28.576,93.628,20,7.3
1947-10-06T19:55:37.000Z,36.728,21.897,15,7.3
1947-10-16T02:09:51.000Z,64.131,-148.613,26,7.2
1947-11-01T14:58:57.000Z,-10.973,-74.725,20,7.6
1947-11-04T00:09:14.000Z,44.01,140.78,15,7
1948-01-24T17:46:44.000Z,10.8,122.295,15,7.8
1948-01-27T11:58:30.000Z,-20.222,-178.557,595,7.1
1948-02-09T12:58:18.000Z,35.631,27.153,15,7.3
1948-03-01T01:12:28.000Z,-3.1,127.111,15,7.1
1948-04-17T16:11:32.000Z,33.145,135.706,15,7.2
1948-05-14T22:31:49.000Z,54.61,-161.19,25,7.1
1948-05-25T07:11:34.000Z,30.166,100.423,55,7.1
1948-08-25T06:09:28.000Z,-24.567,-64.482,30,7
1948-09-08T15:09:14.000Z,-21.246,-173.879,15,7.5
1948-10-05T20:12:09.000Z,38.036,58.388,15,7.3
1949-02-23T16:08:11.000Z,41.865,84.191,10,7.3
1949-03-04T10:19:31.000Z,36.563,70.698,228.7,7.5
1949-03-27T06:34:09.000Z,2.443,127.637,60,7
1949-07-02T19:57:14.000Z,16.575,147.45,15,7.1
1949-07-10T03:53:41.000Z,39.174,70.891,20,7.5
1949-08-22T04:01:18.000Z,53.673,-133.015,10,8.2
1949-12-17T06:53:32.000Z,-53.923,-69.596,10,7.7
1949-12-17T15:07:58.000Z,-53.911,-69.753,10,7.3
1949-12-29T03:03:56.000Z,17.429,121.485,15,7.1
1950-02-28T10:21:00.000Z,45.882,143.491,329,7.7
1950-05-26T01:17:14.000Z,-20.253,169.723,50,7.1
1950-08-14T22:51:26.000Z,-27.507,-62.838,610,7.1
1950-08-15T14:09:34.000Z,28.363,96.445,15,8.6
1950-09-19T20:29:53.000Z,-2.077,138.151,30,7.2
1950-10-05T16:09:42.000Z,10.481,-85.046,97.9,7.5
1950-10-08T03:23:13.000Z,-4.199,128.233,20,7.3
1950-10-23T16:13:28.000Z,14.31,-91.917,65.3,7.2
1950-11-02T15:28:15.000Z,-6.823,129.183,199.7,7.7
1950-12-02T19:51:51.000Z,-18.373,167.654,30,7.9
1950-12-09T21:38:51.000Z,-23.977,-67.912,113.9,8.2
1950-12-14T01:52:54.000Z,-19.705,-175.874,215.9,7.8
1950-12-14T14:15:54.000Z,16.739,-98.482,35,7.1
1951-04-14T13:33:02.000Z,61.214,136.593,10,7.1
1951-07-11T18:21:59.000Z,28.359,139.405,496.7,7.1
1951-08-13T18:33:38.000Z,41.289,32.96,25,7
1951-10-21T21:34:21.000Z,23.487,121.4,25,7.5
1951-10-22T03:29:35.000Z,23.917,121.343,25,7.2
1951-10-22T05:43:07.000Z,23.775,121.393,20,7
1951-11-06T16:40:14.000Z,47.297,154.05,35,7
1951-11-18T09:35:54.000Z,31.056,91.261,30,7.7
1951-11-24T18:50:24.000Z,23.092,121.214,30,7.8
1951-12-08T04:14:16.000Z,-34.229,57.47,15,7.5
1952-02-14T03:38:17.000Z,-7.78,126.493,25,7
1952-03-04T01:22:49.000Z,42.084,143.899,45,8.1
1952-03-19T10:57:15.000Z,9.669,127.099,15,7.3
1952-07-21T11:52:16.000Z,34.859,-119.103,10,7.3
1952-08-17T16:02:14.000Z,30.648,91.601,25,7.4
1952-11-04T16:58:30.000Z,52.623,159.779,21.6,8.9
1952-12-06T10:41:22.000Z,-8.229,156.434,15,7
1953-01-05T07:48:28.000Z,53.631,170.973,21.3,7
1953-03-18T19:06:17.000Z,40.175,27.648,10,7.3
